date,card,merchant,description,amount,category,is_payment
2026-01-27,"Amex Delta","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU",15573.13,"",1
2026-01-27,"Amex Delta","HOTELCOM733581478678HOTELS.COM          WA","HOTELCOM733581478678HOTELS.COM          WA",465.52,"",1
2026-01-26,"Amex Delta","HOTELCOM733581478678HOTELS.COM          WA","HOTELCOM733581478678HOTELS.COM          WA",465.52,"",0
2026-01-25,"Amex Delta","VANTA.COM           SAN FRANCISCO       CA","VANTA.COM           SAN FRANCISCO       CA",3500,"",0
2026-01-25,"Amex Delta","HOTELCOM733570429232HOTELS.COM          WA","HOTELCOM733570429232HOTELS.COM          WA",210.16,"",0
2026-01-25,"Amex Delta","ELEVENLABS.IO       NEW YORK            NY","ELEVENLABS.IO       NEW YORK            NY",23.95,"",0
2026-01-23,"Amex Delta","HOTELCOM733556924126HOTELS.COM          WA","HOTELCOM733556924126HOTELS.COM          WA",420.32,"",0
2026-01-21,"Amex Delta","BEST WESTERN COYOTE SAN MATEO           CA","BEST WESTERN COYOTE SAN MATEO           CA",420.07,"",0
2026-01-21,"Amex Delta","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA",217.75,"",0
2026-01-20,"Amex Delta","AMC 9640 ONLINE*9640LEAWOOD             KS","AMC 9640 ONLINE*9640LEAWOOD             KS",27.99,"",0
2026-01-19,"Amex Delta","DELTA AIR LINES","DELTA AIR LINES",652.99,"",0
2026-01-19,"Amex Delta","DELTA AIR LINES","DELTA AIR LINES",11.2,"",0
2026-01-16,"Chase Sapphire","LYFT *1 RIDE 01-14 HELP.LYFT.COM CA","LYFT *1 RIDE 01-14 HELP.LYFT.COM CA",36.51,,0
2026-01-15,"Chase Sapphire","SQ *URBAN MOMO San Mateo CA","SQ *URBAN MOMO San Mateo CA",219.01,,0
2026-01-15,"Chase Sapphire","DD *DOORDASH ELSINALOE 855-431-0459 CA","DD *DOORDASH ELSINALOE 855-431-0459 CA",214,,0
2026-01-15,"Chase Sapphire","SQ *A2 San Mateo CA","SQ *A2 San Mateo CA",149.07,,0
2026-01-15,"Chase Sapphire","BESTBUYMKT807122115545 Richfield MN","BESTBUYMKT807122115545 Richfield MN",127.94,,1
2026-01-15,"Chase Sapphire","LYFT *1 RIDE 01-13 HELP.LYFT.COM CA","LYFT *1 RIDE 01-13 HELP.LYFT.COM CA",15.14,,0
2026-01-15,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",11.95,,0
2026-01-14,"Chase Sapphire","TST*CENTRAL PARK BISTRO san mateo CA","TST*CENTRAL PARK BISTRO san mateo CA",901.04,,0
2026-01-14,"Chase Sapphire","TST* DOUGH ZONE - SAN MAT SAN MATEO CA","TST* DOUGH ZONE - SAN MAT SAN MATEO CA",244.64,,0
2026-01-14,"Chase Sapphire","DD *DOORDASH OX9LANZHO 855-431-0459 CA","DD *DOORDASH OX9LANZHO 855-431-0459 CA",217.85,,0
2026-01-14,"Amex Delta","RECRUIT PRO         LONG ISLAND CITY    NY","RECRUIT PRO         LONG ISLAND CITY    NY",149,"",0
2026-01-14,"Chase Sapphire","DD *DOORDASH SWEETGREE 855-431-0459 CA","DD *DOORDASH SWEETGREE 855-431-0459 CA",132.87,,0
2026-01-14,"Chase Sapphire","DD *DOORDASH EMPANADAM 855-431-0459 CA","DD *DOORDASH EMPANADAM 855-431-0459 CA",23.25,,0
2026-01-14,"Chase Sapphire","TESLA 188-5183752 CA","TESLA 188-5183752 CA",15.89,,0
2026-01-14,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",5.8,,0
2026-01-13,"Chase Sapphire","Amazon.com*Z41LV5213 Amzn.com/bill WA","Amazon.com*Z41LV5213 Amzn.com/bill WA",2598.15,,0
2026-01-13,"Chase Sapphire","DD *DOORDASH HUMMUSMED 855-431-0459 CA","DD *DOORDASH HUMMUSMED 855-431-0459 CA",305.63,,0
2026-01-13,"Chase Sapphire","WALGREENS #3296 SAN MATEO CA","WALGREENS #3296 SAN MATEO CA",21.91,,0
2026-01-13,"Chase Sapphire","WWW.PERPLEXITY.AI WWW.PERPLEXIT CA","WWW.PERPLEXITY.AI WWW.PERPLEXIT CA",21.78,,0
2026-01-13,"Chase Sapphire","BABELCLOUD INC. GRU.AI/HOME DE","BABELCLOUD INC. GRU.AI/HOME DE",19.9,,0
2026-01-13,"Chase Sapphire","SQ *BLUE BOTTLE COFFEE San Mateo CA","SQ *BLUE BOTTLE COFFEE San Mateo CA",7.75,,0
2026-01-13,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.15,,0
2026-01-12,"Chase Sapphire","LASERMAXX LLC 650-597-3600 CA","LASERMAXX LLC 650-597-3600 CA",431.88,,0
2026-01-12,"Chase Sapphire","ZOOM.COM 888-799-966 San Jose CA","ZOOM.COM 888-799-966 San Jose CA",400.04,,0
2026-01-12,"Chase Sapphire","TST*RISE WOODFIRE SAN MATEO CA","TST*RISE WOODFIRE SAN MATEO CA",358.42,,0
2026-01-12,"Chase Sapphire","UBER *TRIP HELP.UBER.COM CA","UBER *TRIP HELP.UBER.COM CA",110.79,,0
2026-01-12,"Chase Sapphire","UBER *TRIP HELP.UBER.COM CA","UBER *TRIP HELP.UBER.COM CA",31.73,,0
2026-01-12,"Chase Sapphire","DD *DOORDASH XIANFAMOU 855-431-0459 CA","DD *DOORDASH XIANFAMOU 855-431-0459 CA",18.08,,0
2026-01-12,"Chase Sapphire","SQ *PHILZ COFFEE Belmont CA","SQ *PHILZ COFFEE Belmont CA",16.44,,0
2026-01-12,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",11.95,,0
2026-01-12,"Chase Sapphire","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA",9.99,,0
2026-01-11,"Amex Delta","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU",9195.76,"",1
2026-01-11,"Amex Delta","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA",217.75,"",0
2026-01-11,"Chase Sapphire","PAYPAL *DEEPAKDAS288 402-935-7733 CA","PAYPAL *DEEPAKDAS288 402-935-7733 CA",200,,0
2026-01-11,"Chase Sapphire","DOORDASH*01/10-2 ORDER 855-431-0459 CA","DOORDASH*01/10-2 ORDER 855-431-0459 CA",64.24,,0
2026-01-11,"Chase Sapphire","ADOBE *800-833-6687 800-833-6687 CA","ADOBE *800-833-6687 800-833-6687 CA",16.3,,0
2026-01-10,"Chase Sapphire","AMAZON MKTPL*BA8FT1IR0 Amzn.com/bill WA","AMAZON MKTPL*BA8FT1IR0 Amzn.com/bill WA",29.95,,0
2026-01-10,"Chase Sapphire","FIVE GUYS NY 0261 QSR NEW YORK NY","FIVE GUYS NY 0261 QSR NEW YORK NY",26.29,,0
2026-01-10,"Chase Sapphire","LYFT *2 RIDES 01-08 HELP.LYFT.COM CA","LYFT *2 RIDES 01-08 HELP.LYFT.COM CA",26.04,,0
2026-01-10,"Chase Sapphire","DD *DOORDASH SOOTHRTHA 855-431-0459 CA","DD *DOORDASH SOOTHRTHA 855-431-0459 CA",23.34,,0
2026-01-10,"Chase Sapphire","GOOGLE *Google One 855-836-3987 CA","GOOGLE *Google One 855-836-3987 CA",21.76,,0
2026-01-10,"Chase Sapphire","LIME*RIDE CJO6 LI.ME CA","LIME*RIDE CJO6 LI.ME CA",8.78,,0
2026-01-09,"Chase Sapphire","DD *DOORDASH KAJIKENRA 855-431-0459 CA","DD *DOORDASH KAJIKENRA 855-431-0459 CA",76.74,,0
2026-01-09,"Chase Sapphire","TWILIO INC TWILIO.COM CA","TWILIO INC TWILIO.COM CA",50,,0
2026-01-09,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",8.5,,0
2026-01-09,"Chase Sapphire","MTA*LIRR ETIX TICKET 718-217-5477 NY","MTA*LIRR ETIX TICKET 718-217-5477 NY",5.25,,0
2026-01-09,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",3,,0
2026-01-09,"Chase Sapphire","LYFT *1 RIDE 01-07 HELP.LYFT.COM CA","LYFT *1 RIDE 01-07 HELP.LYFT.COM CA",2.98,,0
2026-01-08,"Chase Sapphire","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA",16.32,,0
2026-01-08,"Chase Sapphire","TST*UNDERDOGS CANTINA San Francisco CA","TST*UNDERDOGS CANTINA San Francisco CA",11.06,,0
2026-01-08,"Chase Sapphire","GOOGLE *Colab cc@google.com CA","GOOGLE *Colab cc@google.com CA",10.88,,0
2026-01-08,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.15,,0
2026-01-07,"Chase Sapphire","J CREW 800-562-0258 VA","J CREW 800-562-0258 VA",55.5,,0
2026-01-07,"Chase Sapphire","TST*UNDERDOGS CANTINA San Francisco CA","TST*UNDERDOGS CANTINA San Francisco CA",13.52,,0
2026-01-07,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.15,,0
2026-01-06,"Chase Sapphire","SQ *GARAJE San Francisco CA","SQ *GARAJE San Francisco CA",153.64,,0
2026-01-06,"Chase Sapphire","BACKHAUS BURLINGAME CA","BACKHAUS BURLINGAME CA",21,,0
2026-01-06,"Chase Sapphire","SQ *BLUE BOTTLE COFFEE San Mateo CA","SQ *BLUE BOTTLE COFFEE San Mateo CA",20.25,,0
