Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/01/2026,AUTOPAY PAYMENT - THANK YOU,-6781.27,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320260010010992085',
01/01/2026,GOOGLE*CLOUD N9XR9F CC GOOGLE.COM,4672.97,"A2687435961 DIGITAL GOODS: APPS
GOOGLE*CLOUD N9XR9F GOOGLE PAYMENT
CC GOOGLE.COM
DIGITAL GOODS: APPS",GOOGLE*CLOUD N9XR9F CC GOOGLE.COM,"1600 AMPHITHEATRE PARKWAY
MOUNTAIN VIEW
CA",,94043,UNITED STATES,'320260020060941491',Other-Miscellaneous
12/31/2025,GOOGLE*CLOUD 6RMZGN  G.CO HELPPAY#,10000.00,"A0537530511 DIGITAL GOODS: APPS
GOOGLE*CLOUD 6RMZGN GOOGLE PAYMENT
G.CO HELPPAY#
DIGITAL GOODS: APPS",GOOGLE*CLOUD 6RMZGN  G.CO HELPPAY#,"1600 AMPHITHEATRE PKWY
MOUNTAIN VIEW
CA",,94043-1351,UNITED STATES,'320253650996783283',Business Services-Internet Services
12/25/2025,ELEVENLABS.IO       NEW YORK            NY,23.95,"CH_3SIUN1LM +19177203691
ELEVENLABS.IO
NEW YORK
NY
+19177203691",ELEVENLABS.IO       NEW YORK            NY,169 MADISON AVE STE 2484,"NEW YORK
NY",10016,UNITED STATES,'320253600870312742',Merchandise & Supplies-Computer Supplies
12/21/2025,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,217.75,"CH_3SGVQ8BJ +14152360599
CLAUDE.AI SUBSCRIPTION
SAN FRANCISCO
CA
+14152360599",CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,"731 SANSOME ST
SAN FRANCISCO
CA",,94111,UNITED STATES,'320253550738287730',Merchandise & Supplies-Computer Supplies
12/20/2025,AMC 9640 ONLINE*9640LEAWOOD             KS,27.99,"P2FX4NC8    888-440-4262
AMC 9640 ONLINE*9640 AMC ONL
LEAWOOD
KS
Description : 9640 AMC ONLINE Price : 0.00
888-440-4262",AMC 9640 ONLINE*9640LEAWOOD             KS,"920 MAIN ST
FL 14
KANSAS CITY
MO",,64105-2008,UNITED STATES,'320253540694423534',Entertainment-Theatrical Events
12/20/2025,ANTHROPIC           SAN FRANCISCO       CA,1634.18,"CH_3SGO2FAC +14152360599
ANTHROPIC
SAN FRANCISCO
CA
+14152360599",ANTHROPIC           SAN FRANCISCO       CA,"731 SANSOME ST
SAN FRANCISCO
CA",,94111,UNITED STATES,'320253540690074045',Merchandise & Supplies-Computer Supplies
12/19/2025,HOTELCOM733309978440HOTELS.COM          WA,431.94,"T0IFHIOR7   TRAVEL
HOTELCOM73330997844005
HOTELS.COM
WA
TRAVEL",HOTELCOM733309978440HOTELS.COM          WA,"1111 EXPEDIA GROUP WAY W.
SEATTLE
WA",,98119,UNITED STATES,'320253530657106990',Travel-Travel Agencies
12/18/2025,HOTELCOM733298620064HOTELS.COM          WA,102.63,"CLUB QUARTE TRAVEL
LODGING
HOTELCOM73329862006439
HOTELS.COM
WA",HOTELCOM733298620064HOTELS.COM          WA,"1111 EXPEDIA GROUP WAY W.
SEATTLE
WA",,98119,UNITED STATES,'320253520629011205',Travel-Travel Agencies
12/14/2025,RECRUIT PRO         LONG ISLAND CITY    NY,149.00,"CH_3SENMVJF +14158002052
RECRUIT PRO
LONG ISLAND CITY
NY
+14158002052",RECRUIT PRO         LONG ISLAND CITY    NY,"""1151 47TH AVE, #2G""
LONG ISLAND CITY
NY",,11101,UNITED STATES,'320253490545915527',Business Services-Other Services
