date,merchant,amount,category,chase_description,notes
2025-11-13,Apple,3855.9,Equipment,APPLE.COM/US 800-692-7753 CA,"On Chase, not claimed"
2025-03-25,Apple,3175.78,Equipment,APPLE.COM/US 800-692-7753 CA,"On Chase, not claimed"
2025-10-11,Airbnb,2248.12,Travel,AIRBNB * HMAWDJY4T2 AIRBNB.COM CA,"On Chase, not claimed"
2025-09-21,Apple,869.91,Equipment,APPLE STORE #R032 NEW YORK NY,"On Chase, not claimed"
2025-06-26,Airbnb,614.31,Travel,AIRBNB * HMRQ2P4H8E AIRBNB.COM CA,"On Chase, not claimed"
2025-09-10,Amazon,580.09,Equipment,AMAZON MKTPL*FJ5BX08F3 Amzn.com/bill WA,"On Chase, not claimed"
2025-04-24,Amazon.com*N25PW32X2 Amzn.com/bill WA,579.92,Equipment,Amazon.com*N25PW32X2 Amzn.com/bill WA,"On Chase, not claimed"
2025-04-24,Amazon.com*EM50W99P3 Amzn.com/bill WA,548.11,Equipment,Amazon.com*EM50W99P3 Amzn.com/bill WA,"On Chase, not claimed"
2025-10-04,MITR,458.79,Meals,TST*MITR THAI New York NY,"On Chase, not claimed"
2025-05-20,Amazon.com*NW2HU89G0 Amzn.com/bill WA,435.45,Equipment,Amazon.com*NW2HU89G0 Amzn.com/bill WA,"On Chase, not claimed"
2025-05-16,MACARENA,428.71,Meals,TST*MACARENA 2025 Palo Alto CA,"On Chase, not claimed"
2025-07-09,GYU KAKU RESTAURANT 408-3431088 CA,357.12,Meals,GYU KAKU RESTAURANT 408-3431088 CA,"On Chase, not claimed"
2025-01-06,RANGOON RUBY BURMESE CUIS PALO ALTO CA,321.33,Meals,RANGOON RUBY BURMESE CUIS PALO ALTO CA,"On Chase, not claimed"
2025-03-26,SUSHI MARUYAMA SAN MATEO CA,315.78,Meals,SUSHI MARUYAMA SAN MATEO CA,"On Chase, not claimed"
2025-10-02,SQ *MINAMI RESTAURANT TOR TORONTO ON,305.75,Meals,SQ *MINAMI RESTAURANT TOR TORONTO ON,"On Chase, not claimed"
2025-01-07,KANPAI PALO ALTO CA,288.08,Meals,KANPAI PALO ALTO CA,"On Chase, not claimed"
2025-09-21,Apple,271.1,Equipment,APPLE STORE #R032 NEW YORK NY,"On Chase, not claimed"
2025-10-12,Apple,271.1,Equipment,APPLE STORE #R032 NEW YORK NY,"On Chase, not claimed"
2025-06-19,Airbnb,263.4,Travel,AIRBNB * HMHTR8TR8K AIRBNB.COM CA,"On Chase, not claimed"
2025-07-02,ANTHROPIC ANTHROPIC.COM CA,250.0,Infrastructure,ANTHROPIC ANTHROPIC.COM CA,"On Chase, not claimed"
2025-04-24,Amazon,213.77,Equipment,AMAZON MKTPL*TC7OV8HC3 Amzn.com/bill WA,"On Chase, not claimed"
2025-03-27,DoorDash,212.67,Meals,DD *DOORDASH HUMMUSMED 855-431-0459 CA,"On Chase, not claimed"
2025-06-25,"CURSOR, AI POWERED IDE CURSOR.COM NY",209.04,Software,"CURSOR, AI POWERED IDE CURSOR.COM NY","On Chase, not claimed"
2025-06-13,HATSUHANA SUSHI RESTAURAN NEW YORK NY,181.07,Meals,HATSUHANA SUSHI RESTAURAN NEW YORK NY,"On Chase, not claimed"
2025-04-20,OTO SUSHI REDMOND REDMOND WA,169.32,Meals,OTO SUSHI REDMOND REDMOND WA,"On Chase, not claimed"
2025-01-15,DON,168.83,Meals,TST*DON ANGIE New York NY,"On Chase, not claimed"
