email_id,date,merchant,subject,from_email,category,estimated_amount,forward_priority,notes
# ============================================================
# RECEIPTS TO FORWARD TO RAMP - COMPILED FROM GMAIL
# Total: 300+ receipt emails available for forwarding
# ============================================================

# HIGH PRIORITY - LARGE AMOUNTS ($100+)
# ============================================================

# DELTA AIR LINES - 68 flight receipts
19b304f1cb8d562d,2025-12-18,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 22DEC25,DeltaAirLines@t.delta.com,Travel,607.97,critical,JFK-SFO Dec 22
19afcde43aa3498a,2025-12-08,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 14DEC25,DeltaAirLines@t.delta.com,Travel,,high,
19af0e6008b9da9d,2025-12-05,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 08DEC25,DeltaAirLines@t.delta.com,Travel,,high,
19ad7b7b53fe7f7b,2025-11-30,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 07DEC25,DeltaAirLines@t.delta.com,Travel,,high,
19ab74572b7e7435,2025-11-24,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 30NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19ab73e4a3b81ed5,2025-11-24,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 01DEC25,DeltaAirLines@t.delta.com,Travel,,high,
19a9fc8d9e1bf75e,2025-11-19,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 26NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a851b0660abd8f,2025-11-14,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 16NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a8517f4cf5f753,2025-11-14,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 23NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a41674bc3f5b5c,2025-11-01,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 16NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a4158273ee2951,2025-11-01,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 04NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a3c5355b0b2149,2025-10-31,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 05NOV25,DeltaAirLines@t.delta.com,Travel,,high,
19a2b22d6aebf495,2025-10-28,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 30OCT25,DeltaAirLines@t.delta.com,Travel,,high,
19a112998375d927,2025-10-23,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 26OCT25,DeltaAirLines@t.delta.com,Travel,,high,
19a0380fd064e8a0,2025-10-20,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 23OCT25,DeltaAirLines@t.delta.com,Travel,,high,
199e1444d940acdf,2025-10-13,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 17OCT25,DeltaAirLines@t.delta.com,Travel,,high,
199c5611a3d80c44,2025-10-08,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 12OCT25,DeltaAirLines@t.delta.com,Travel,,high,
19954e3a1fb67f9d,2025-09-16,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 14OCT25,DeltaAirLines@t.delta.com,Travel,,high,
19954e206b4e6ec3,2025-09-16,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 08OCT25,DeltaAirLines@t.delta.com,Travel,,high,
19940f5012576065,2025-09-12,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 21SEP25,DeltaAirLines@t.delta.com,Travel,,high,
19940ecbe5bc9055,2025-09-12,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 29SEP25,DeltaAirLines@t.delta.com,Travel,,high,
1991db224d3a74a2,2025-09-06,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 16SEP25,DeltaAirLines@t.delta.com,Travel,,high,
199034966650d14c,2025-08-31,Delta Air Lines,Your Flight Receipt - MICHAEL LEO D ANGELO 01SEP25,DeltaAirLines@t.delta.com,Travel,,high,
