id,date,merchant,description,amount,category,subcategory,source_card,receipt_status,receipt_email_id,receipt_email_subject,receipt_file,email_search_query,submission_status,priority,business_purpose,notes
BF-20250107-002,2025-01-07,DoorDash,DoorDash - Delivery,143.10,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH COUPACAFE 855-431-0459 CA
BF-20250110-001,2025-01-10,DoorDash,DoorDash - Delivery,137.10,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH ELSINALOE WWW.DOORDASH. CA
BF-20250111-001,2025-01-11,DoorDash,DoorDash - Delivery,21.17,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH THEHALALG 855-431-0459 CA
BF-20250112-002,2025-01-12,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250113-001,2025-01-13,Amazon,Amazon - Supplies,76.17,Equipment,Supplies,Chase,pending,,,,,pending,medium,Work supplies,Backfill: Amazon.com*Z52EO5IM2 Amzn.com/bill WA
BF-20250115-001,2025-01-15,Amazon,Amazon - Supplies,65.31,Equipment,Supplies,Chase,pending,,,,,pending,medium,Work supplies,Backfill: Amazon.com*ZG2US2PN2 Amzn.com/bill WA
BF-20250117-001,2025-01-17,Amazon,Amazon - Supplies,62.69,Equipment,Supplies,Chase,pending,,,,,pending,medium,Work supplies,Backfill: Amazon.com*ZG8F44832 Amzn.com/bill WA
BF-20250118-001,2025-01-18,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250121-002,2025-01-21,DoorDash,DoorDash - Delivery,70.36,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH MYDUMPLIN 855-431-0459 CA
BF-20250124-001,2025-01-24,DoorDash,DoorDash - Delivery,57.04,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH POKEHOUSE 855-431-0459 CA
BF-20250128-002,2025-01-28,DoorDash,DoorDash - Delivery,37.28,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH ELSINALOE 855-431-0459 CA
BF-20250128-001,2025-01-28,DoorDash,DoorDash - Delivery,35.10,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH TABLAFORM 855-431-0459 CA
BF-20250130-001,2025-01-30,DoorDash,DoorDash - Delivery,78.89,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH HUMMUSMED 855-431-0459 CA
BF-20250201-001,2025-02-01,DoorDash,DoorDash - Delivery,30.36,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH CUBANKITC 855-431-0459 CA
BF-20250202-001,2025-02-02,DoorDash,DoorDash - Delivery,24.16,Meals,Delivery,Chase,pending,,,,,pending,medium,Meal delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
